id;name;elementTypes;baseStats;moves
1;Chairmander;FIRE,NORMAL;90,80,70,50,120,90;3,47,1,6,8,19,34,37,49
2;Bulbapedia;GRASS,POISON;100,90,80,50,50,100;10,35,13,26,31
3;Talonfalme;FIRE,FLYING;90,50,30,120,120,50;3,47,23
4;Lantern;ELECTRIC,WATER;150,50,90,70,80,60;11,41,48,9,21,30,43
5;Artiduo;ICE,FLYING;200,90,80,50,40,100;16,33,42,23
6;Momaswine;ICE,GROUND;10,200,200,10,10,10;16,33,22
7;Dreddy;WATER,ROCK;10,10,10,200,200,10;9,21,43,14,25
8;Karrakosta;WATER,ROCK;10,250,10,250,10,10;9,21,30,14,25
9;Dragapult;DRAGON;100,100,100,100,100,100;18,28,44
10;Giratino;GHOST,DRAGON;100,100,100,100,100,100;7,32,40,50,18,28,44
11;Ribombi;BUG,FAIRY;100,100,100,100,100,100;24,4,27,38
12;Beautyfree;BUG;100,100,100,100,100,100;24
13;Aegislash;GHOST,DARK;100,100,100,100,100,100;7,32,50,5,12,36
14;Duoblade;GHOST,DARK;100,100,100,100,100,100;7,32,40,5,12,46
15;Gasly;GHOST;100,100,100,100,100,100;7,32,40,50
16;Empenguin;WATER,STEEL;100,100,100,100,100,100;9,21,30,43,15,20
17;Spiritoomb;PSYCHIC,GHOST;100,100,100,100,100,100;17,29,32,40,50
18;Lilip;GRASS,ROCK;100,100,100,100,100,100;10,35,14,25
19;Cryogonal;ICE;100,100,100,100,100,100;16,33,42
20;Zaptres;ELECTRIC,FLYING;100,100,100,100,100,100;11,41,48,23
21;Moewstic;PSYCHIC;100,90,50,60,70,100;17,27
22;Zygared;DRAGON,GROUND;90,50,30,120,120,50;18,28,44,22
23;Aurores;ROCK,ICE;100,100,100,100,100,100;14,25,16,33,42
24;Jigypuff;NORMAL,FAIRY;100,100,80,70,60,90;1,6,8,37
25;Vaporoen;WATER;100,80,60,60,70,100;9,21,30,43
26;Frosmith;ICE,BUG;100,100,100,100,100,100;16,33,42,24
27;Scroggy;FIGHTING,DARK;100,100,80,90,60,100;2,39,45,5,12,46
28;Gulpen;POISON;100,100,80,70,60,90;13,26,31
29;Dansparce;NORMAL;100,90,50,60,70,100;6,8,34,37,49
30;Chailyrex;GRASS,PSYCHIC;100,100,100,100,100,100;10,35,17,29
31;Volcanian;WATER,FIRE;60,70,100,80,100,70;9,21,43,3,47
32;Gallada;FIGHTING,PSYCHIC;100,100,100,100,100,100;2,39,45,17,29
33;Obstagin;NORMAL,DARK;100,100,100,70,60,90;1,6,19,34,5,12,36
34;Infrenope;FIRE,FIGHTING;200,90,80,50,40,100;3,47,2,39,45
35;Baltyo;PSYCHIC,GROUND;100,100,100,100,100,100;17,29,22
36;Sandslash;GROUND;10,10,10,200,200,10;22
37;Joltak;ELECTRIC,BUG;200,90,80,50,40,100;11,41,48,24
38;Virizain;FIGHTING,GRASS;100,70,80,80,60,90;2,39,45,10,35
39;Heatreen;STEEL,FIRE;70,100,100,90,100,100;15,20,3,47
40;Goolbat;FLYING,POISON;70,70,90,100,100,100;23,13,26,31
41;Tapukook;FAIRY,ELECTRIC;200,90,80,50,40,100;4,27,38,11,41,48
42;Leipard;DARK;100,90,50,90,70,100;5,12,36,46
43;Regasteel;STEEL;100,70,80,80,60,90;15,20
44;Alcremei;FAIRY;50,70,80,80,60,90;4,27,38
45;Flygoona;GROUND,DRAGON;100,100,80,100,100,100;22,18,28,44
46;Rabooit;FIRE;70,70,80,100,60,100;3,47
47;Oniax;GROUND,ROCK;200,90,80,50,40,100;22,14,25
48;Ecaans;POISON;50,70,80,70,60,100;13,26,31
49;Genasect;STEEL,BUG;100,100,100,100,100,100;15,20,24
50;Jumpliff;FLYING,GRASS;10,10,10,200,200,10;23,10,35
